race,age,none,low/medium,high
all,66,18.5,15.7,9.9
all,67,17.9,15.4,9.9
all,68,17.4,14.7,9.4
all,69,16.8,14.1,9.4
all,70,16.3,13.5,8.9
all,71,15.7,13.3,8.4
all,72,14.8,12.7,8.4
all,73,14.2,12.1,7.9
all,74,13.7,11.6,7.4
all,75,12.7,11.0,7.4
all,76,12.2,10.1,7.0
all,77,11.7,9.6,6.6
all,78,11.2,9.1,6.2
all,79,10.8,8.6,5.8
all,80,9.8,8.2,5.8
all,81,9.4,7.7,5.5
all,82,8.9,6.9,5.1
all,83,8.1,6.5,4.8
all,84,7.6,6.2,4.5
all,85,7.2,5.8,4.2
all,86,6.8,5.4,3.9
all,87,6.1,5.1,3.7
all,88,5.7,4.8,3.5
all,89,5.4,4.5,3.2
all,90,5.1,3.9,3.0
white,66,18.6,16.1,9.9
white,67,18.0,15.5,9.9
white,68,17.5,14.8,9.4
white,69,16.9,14.2,9.4
white,70,16.3,13.9,8.9
white,71,15.8,13.3,8.9
white,72,14.8,12.8,8.4
white,73,14.3,12.2,7.9
white,74,13.8,11.6,7.9
white,75,12.8,10.7,7.4
white,76,12.3,10.1,7.0
white,77,11.8,9.6,6.6
white,78,11.3,9.1,6.2
white,79,10.3,8.7,5.8
white,80,9.9,8.2,5.4
white,81,9.4,7.7,5.1
white,82,8.5,6.9,4.8
white,83,8.1,6.5,4.8
white,84,7.6,6.1,4.5
white,85,7.2,5.8,4.2
white,86,6.5,5.4,3.9
white,87,6.1,5.1,3.6
white,88,5.7,4.8,3.4
white,89,5.4,4.4,3.2
white,90,5.0,3.9,3.0
black,66,16.3,14.2,9.1
black,67,15.8,13.6,8.7
black,68,15.7,13.1,8.2
black,69,15.2,12.6,7.9
black,70,14.7,12.4,7.9
black,71,14.2,11.9,7.5
black,72,13.7,11.4,7.1
black,73,12.8,10.9,6.8
black,74,12.4,10.5,6.4
black,75,11.9,10.0,6.4
black,76,11.5,9.6,6.1
black,77,11.1,9.2,5.8
black,78,10.6,8.8,5.5
black,79,10.2,8.4,5.5
black,80,9.8,8.0,5.2
black,81,9.4,7.7,5.2
black,82,8.7,7.3,5.0
black,83,8.3,7.0,4.7
black,84,7.9,6.7,4.5
black,85,7.3,6.3,4.5
black,86,6.9,6.0,4.2
black,87,6.6,5.5,4.0
black,88,6.3,5.2,3.8
black,89,6.0,4.9,3.6
black,90,5.7,4.7,3.6